Artists,URI
DaBaby,spotify:artist:4r63FhuTkUYltbVAg5TQnk
Young Miko,spotify:artist:3qsKSpcV3ncke3hw52JSMB
Tainy,spotify:artist:0GM7qgcRCORpGnfcN2tCiB
Lil Nas X,spotify:artist:7jVv8c5Fj3E9VhNjxT4snq
Labrinth,spotify:artist:2feDdbD5araYcm6JhFHHw7
Creedence Clearwater Revival,spotify:artist:3IYUhFvPQItj6xySrBmZkd
Guns N' Roses,spotify:artist:3qm84nBOXUEQ2vnTfUTTFC
Dave,spotify:artist:4XmXrxfPJr90IYeBwKrlKT
USHER,spotify:artist:23zg3TcAtWQy7J6upgbUnj
AC/DC,spotify:artist:711MCceyCBcFnzjGY4Q7Un
Kodak Black,spotify:artist:46SHBwWsqBkxI7EeeBEQG7
Chencho Corleone,spotify:artist:37230BxxYs9ksS7OkZw3IU
Sebastian Yatra,spotify:artist:07YUOmWljBTXwIseAUd9TW
Hozier,spotify:artist:2FXC3k01G6Gw61bmprjgqS
RAYE,spotify:artist:5KKpBU5eC2tJDzf0wmlRp2
Nirvana,spotify:artist:6olE6TJLqED3rqDCT0FyPh
Nicky Jam,spotify:artist:1SupJlEpv7RS2tPNRaHViT
Miguel,spotify:artist:360IAlyVv4PCEVjgyMZrxK
Frank Ocean,spotify:artist:2h93pZq0e7k5yf4dywlkpM
ABBA,spotify:artist:0LcJLqbBmaGUft1e9Mm8HV
Lil Durk,spotify:artist:3hcs9uc56yIGFCSy9leWe7
Flo Rida,spotify:artist:0jnsk9HBra6NMjO2oANoPY
Troye Sivan,spotify:artist:3WGpXCj9YhhfX11TToZcXP
Robin Schulz,spotify:artist:3t5xRXzsuZmMDkQzgOX35S
Kygo,spotify:artist:23fqKkggKUBHNkbKtXEls4
Bon Jovi,spotify:artist:58lV9VcRSjABbAbfWS6skp
Junior H,spotify:artist:7Gi6gjaWy3DxyilpF1a8Is
Ty Dolla $ign,spotify:artist:7c0XG5cIJTrrAgEC3ULPiq
Calum Scott,spotify:artist:6ydoSd3N2mwgwBHtF6K7eX
Steve Lacy,spotify:artist:57vWImR43h4CaDao012Ofp
Jack Harlow,spotify:artist:2LIk90788K0zvyj2JJVwkJ
Eslabon Armado,spotify:artist:0XeEobZplHxzM9QzFQWLiR
Daniel Caesar,spotify:artist:20wkVLutqVOYrc0kxFs7rA
Stephen Sanchez,spotify:artist:5XKFrudbV4IiuE5WuTPRmT
Bee Gees,spotify:artist:1LZEQNv7sE11VDY3SdxQeN
The Police,spotify:artist:5NGO30tJxFlKixkPSgXcFE
Meghan Trainor,spotify:artist:6JL8zeS1NmiOftqZTRgdTz
Fall Out Boy,spotify:artist:4UXqAaa6dQYAk18Lv7PEgX
DJ Khaled,spotify:artist:0QHgL1lAIqAw0HtD7YldmP
FIFTY FIFTY,spotify:artist:4GJ6xDCF5jaUqD6avOuQT6
Maria Becerra,spotify:artist:1DxLCyH42yaHKGK3cl5bvG
The Rolling Stones,spotify:artist:22bE4uQ6baNwSHPVcDxLCe
Morgan Wallen,spotify:artist:4oUHIQIBe0LHzYfvXNW4QM
d4vd,spotify:artist:5y8tKLUfMvliMe8IKamR32
Twenty One Pilots,spotify:artist:3YQKmKGau1PzlVlkL1iodx
Carin Leon,spotify:artist:66ihevNkSYNzRAl44dx6jJ
Lost Frequencies,spotify:artist:7f5Zgnp2spUuuzKplmRkt7
NewJeans,spotify:artist:6HvZYsbFfjnjFrWF950C9d
Akon,spotify:artist:1SAObfwYJSC9qgMlCcUVRp
David Kushner,spotify:artist:33NVpKoXjItPwUJTMZIOiY
PinkPantheress,spotify:artist:78rUTD7y6Cy67W1RVzYs7t
Amitabh Bhattacharya,spotify:artist:2fMqTqiTxUDlmcOEPaQSsx
Metallica,spotify:artist:2ye2Wgw4gimLv2eAKyk1NB
Sabrina Carpenter,spotify:artist:74KM79TiuVKeVCqs8QtB0B
Mariah Carey,spotify:artist:4iHNK0tOyZPYnBU7nGAgpQ
Major Lazer,spotify:artist:738wLrAtLtCtFOLvQBXOXp
Nelly Furtado,spotify:artist:2jw70GZXlAI8QzWeY2bgRc
JVKE,spotify:artist:164Uj4eKjl6zTBKfJLFKKK
Tame Impala,spotify:artist:5INjqkS1o8h1imAzPqGZBb
Swedish House Mafia,spotify:artist:1h6Cn3P4NGzXbaXidqURXs
Tyga,spotify:artist:5LHRHt1k9lMyONurDHEdrp
Jonas Brothers,spotify:artist:7gOdHgIoIKoe4i9Tta6qdD
Alicia Keys,spotify:artist:3DiDSECUqqY1AuBP8qtaIa
